Bitstring,Count
'000000000000000',3544
'000000000000001',94
'000000000000010',104
'000000000000011',6
'000000000000100',49
'000000000000110',23
'000000000001000',90
'000000000001001',2
'000000000001010',2
'000000000001100',1
'000000000001110',28
'000000000010000',173
'000000000010001',4
'000000000010010',4
'000000000010011',1
'000000000010100',4
'000000000010101',1
'000000000010110',3
'000000000010111',1
'000000000011000',5
'000000000011001',1
'000000000011110',31
'000000000100000',70
'000000000100001',3
'000000000100010',4
'000000000100100',1
'000000000101000',1
'000000000101110',1
'000000000110000',1
'000000000110001',1
'000000000111000',1
'000000000111100',1
'000000000111110',12
'000000001000000',48
'000000001000001',7
'000000001000010',1
'000000001001000',4
'000000001001110',1
'000000001010000',4
'000000001011110',2
'000000001100000',2
'000000001110000',3
'000000001111110',15
'000000001111111',1
'000000010000000',49
'000000010000010',1
'000000010000011',1
'000000010001000',3
'000000010010000',2
'000000010011110',2
'000000010100000',3
'000000010110000',1
'000000011000000',2
'000000011011110',2
'000000011111110',16
'000000100000000',52
'000000100000001',2
'000000100000010',2
'000000100000100',1
'000000100010000',1
'000000100100000',1
'000000101111110',1
'000000110111110',1
'000000111011110',1
'000000111101110',1
'000000111111110',17
'000001000000000',42
'000001000000010',2
'000001000001000',2
'000001000010000',1
'000001000011110',1
'000001000100000',2
'000001011111110',1
'000001100000000',2
'000001101111110',1
'000001111011110',2
'000001111100000',1
'000001111101110',1
'000001111111100',2
'000001111111110',55
'000001111111111',2
'000010000000000',76
'000010000000010',2
'000010000000110',1
'000010000001000',1
'000010000001001',1
'000010000001110',2
'000010000010000',2
'000010000011110',1
'000010000100000',2
'000010001000000',1
'000010001111110',1
'000010010000000',1
'000010100000000',1
'000010111111010',1
'000010111111110',4
'000010111111111',1
'000011000000000',6
'000011101111110',2
'000011110111110',1
'000011111111100',1
'000011111111110',15
'000100000000000',21
'000100000000001',1
'000100000000100',1
'000100000010000',1
'000100001000000',1
'000100100000000',1
'000101111111110',3
'000110000000000',5
'000111100000000',1
'000111101111110',2
'000111111011110',1
'000111111110110',1
'000111111111100',1
'000111111111110',24
'000111111111111',2
'001000000000000',34
'001000000000001',2
'001000000010000',2
'001000000010001',1
'001000000011000',1
'001000000011110',1
'001000000100000',1
'001000001000000',1
'001000010000000',2
'001000011100000',1
'001001000000000',1
'001010000000000',3
'001011111111110',1
'001011111111111',1
'001100000000000',5
'001100101000001',1
'001101111111110',1
'001110000000000',1
'001110111111111',1
'001111111110110',2
'001111111111100',1
'001111111111110',9
'001111111111111',2
'010000000000000',99
'010000000000001',9
'010000000000010',3
'010000000000100',2
'010000000000110',1
'010000000001000',1
'010000000001010',1
'010000000010000',9
'010000000100000',1
'010000001111110',1
'010000010000000',1
'010000100000000',2
'010000111111110',1
'010001000000001',1
'010010000000000',3
'010011111111110',2
'010100000000000',1
'010111111111110',3
'010111111111111',1
'011000000000000',1
'011011111101110',1
'011011111111111',1
'011100000000000',2
'011100000000001',1
'011101111111110',1
'011101111111111',2
'011110000000001',1
'011111011111111',1
'011111101111110',1
'011111110000000',1
'011111111111110',10
'011111111111111',28
'100000000000000',12
'100000000000001',12
'100000000000010',1
'100000000000011',1
'100000000010000',1
'100000000011111',1
'100000000100000',1
'100000000100001',1
'100000001011110',1
'100000001111110',1
'100000010000000',1
'100010000000011',1
'100011111111110',2
'100011111111111',1
'100100000000000',1
'100111111111110',2
'100111111111111',2
'101000000000000',2
'101000000000001',1
'101011111111110',1
'101011111111111',6
'101101111111111',5
'101110111111111',1
'101111000000001',1
'101111011111111',2
'101111110111111',2
'101111111010111',1
'101111111011111',3
'101111111100011',1
'101111111101111',2
'101111111110111',1
'101111111111101',4
'101111111111110',2
'101111111111111',120
'110000000000000',2
'110000000000001',23
'110000100000001',1
'110001111111111',1
'110010000000001',1
'110011111111101',1
'110011111111111',3
'110100000000001',2
'110101111111111',4
'110110000000001',1
'110111110111111',1
'110111111011111',4
'110111111100001',1
'110111111110001',1
'110111111110111',1
'110111111111011',1
'110111111111111',34
'111000000000000',1
'111000000000001',31
'111000000000011',1
'111000000001001',1
'111000000001111',1
'111000000010001',1
'111000000011111',1
'111001111111111',2
'111010000000001',2
'111010000010001',1
'111010111111111',1
'111011100000001',2
'111011100001001',1
'111011101111111',1
'111011111000001',1
'111011111011111',4
'111011111100001',1
'111011111110001',1
'111011111111111',77
'111100000000000',1
'111100000000001',23
'111100000000111',1
'111100000010001',2
'111100010000001',1
'111100111111011',1
'111100111111111',4
'111101101111111',1
'111101110111111',2
'111101111000011',1
'111101111011111',8
'111101111100001',2
'111101111101111',2
'111101111110001',2
'111101111110111',1
'111101111111001',2
'111101111111011',2
'111101111111101',3
'111101111111110',1
'111101111111111',134
'111110000000001',36
'111110000000011',1
'111110000000101',1
'111110000001001',1
'111110000010001',3
'111110001000001',1
'111110010000001',2
'111110011111111',1
'111110101000001',1
'111110110000001',1
'111110111011111',2
'111110111101111',1
'111110111111001',1
'111110111111101',2
'111110111111111',42
'111111000000001',20
'111111000001001',1
'111111000010001',1
'111111001000001',1
'111111001110001',1
'111111001111111',1
'111111010000001',3
'111111011011111',1
'111111011111110',1
'111111011111111',23
'111111100000001',29
'111111100000011',2
'111111100000101',1
'111111100001001',1
'111111100010001',3
'111111100101111',1
'111111101000001',2
'111111101010001',1
'111111101011011',1
'111111101011111',4
'111111101111101',1
'111111101111110',1
'111111101111111',56
'111111110000001',23
'111111110001111',1
'111111110010001',1
'111111110010011',1
'111111110011111',3
'111111110100001',1
'111111110100011',1
'111111110111101',2
'111111110111111',30
'111111111000001',23
'111111111000011',3
'111111111001111',1
'111111111010001',4
'111111111010111',1
'111111111011101',2
'111111111011111',140
'111111111100001',35
'111111111100111',1
'111111111101001',1
'111111111101011',1
'111111111101111',35
'111111111110000',1
'111111111110001',36
'111111111110011',2
'111111111110101',2
'111111111110111',30
'111111111111001',12
'111111111111011',26
'111111111111100',2
'111111111111101',53
'111111111111110',25
'111111111111111',3554
