Bitstring,Count
'000000000000000',1606
'000000000000001',1
'000000000000010',164
'000000000000100',47
'000000000000110',4
'000000000001000',35
'000000000001010',6
'000000000001100',7
'000000000001110',6
'000000000010000',26
'000000000010010',2
'000000000010100',2
'000000000010110',3
'000000000011000',2
'000000000011010',1
'000000000011100',2
'000000000011110',7
'000000000100000',27
'000000000100100',1
'000000000100110',2
'000000000101000',2
'000000000101010',1
'000000000110000',3
'000000000110010',2
'000000000110100',2
'000000000111000',1
'000000000111010',1
'000000000111110',11
'000000001000000',24
'000000001000100',2
'000000001001000',2
'000000001001010',1
'000000001010000',3
'000000001011110',2
'000000001100000',1
'000000001101110',1
'000000001110000',2
'000000001111010',1
'000000001111100',1
'000000001111110',7
'000000010000000',22
'000000010000010',4
'000000010000110',2
'000000010100000',1
'000000010110000',1
'000000011000000',3
'000000011000100',1
'000000011001000',2
'000000011001010',1
'000000011001110',2
'000000011011110',1
'000000011111000',1
'000000011111100',1
'000000011111110',5
'000000100000000',26
'000000100000010',2
'000000100000100',2
'000000100001100',1
'000000100010000',1
'000000100111000',1
'000000101000000',2
'000000101100000',1
'000000101111110',1
'000000110000000',5
'000000110000010',1
'000000110111110',2
'000000111100000',1
'000000111111110',11
'000001000000000',54
'000001000000010',5
'000001000000100',2
'000001000001000',1
'000001000001010',1
'000001000010000',1
'000001000111110',2
'000001001000000',1
'000001001001100',1
'000001001011110',1
'000001001110110',1
'000001001111100',1
'000001010000000',1
'000001011111110',1
'000001100000000',5
'000001100101110',1
'000001101000000',1
'000001110011000',1
'000001110011110',1
'000001111011110',1
'000001111111110',5
'000010000000000',55
'000010000000010',8
'000010000000100',2
'000010000001000',1
'000010000010000',3
'000010001111110',1
'000010010000000',1
'000010011111100',1
'000010100000000',1
'000010101111110',1
'000010110000000',1
'000010110000010',1
'000010110111110',1
'000010111111110',1
'000011000000000',3
'000011000000010',1
'000011000001010',1
'000011011111110',1
'000011100000010',1
'000011100111110',1
'000011111110110',1
'000011111111000',1
'000011111111110',15
'000100000000000',13
'000100000000010',4
'000100000000100',1
'000100000010000',1
'000100011000000',1
'000100110011110',1
'000101111011110',1
'000101111111110',2
'000110000000010',1
'000110000001000',1
'000110111111110',3
'000111000000000',1
'000111100000000',1
'000111110111110',1
'000111111111010',1
'000111111111100',1
