Bitstring,Count
'000000000000000',1744
'000000000000010',56
'000000000000100',31
'000000000000110',10
'000000000001000',45
'000000000001100',1
'000000000001110',15
'000000000010000',23
'000000000010010',2
'000000000010110',1
'000000000011000',3
'000000000011110',6
'000000000100000',23
'000000000100010',1
'000000000100100',1
'000000000101100',1
'000000000101110',1
'000000000110000',1
'000000000111100',1
'000000000111110',4
'000000001000000',27
'000000001000010',1
'000000001111110',8
'000000010000000',58
'000000010000010',3
'000000010001000',1
'000000010001110',1
'000000010010000',1
'000000010100000',1
'000000010111110',2
'000000011000000',1
'000000011110010',1
'000000011111110',7
'000000100000000',18
'000000100000100',1
'000000100000110',1
'000000100010000',2
'000000100100000',1
'000000100111110',1
'000000101000000',1
'000000110000000',4
'000000111011110',2
'000000111111110',6
'000001000000000',58
'000001000000010',2
'000001000000110',1
'000001000001000',4
'000001000001110',1
'000001000010000',1
'000001000100000',2
'000001000100010',1
'000001001000000',1
'000001001111110',1
'000001010000000',5
'000001100000000',2
'000001111011110',1
'000001111111110',26
'000010000000000',81
'000010000000010',4
'000010000000100',2
'000010000000110',1
'000010000001000',1
'000010000010000',1
'000010000100000',3
'000010010000000',3
'000010010010000',1
'000010100000010',1
'000010100011000',1
'000010101111110',1
'000010111111110',1
'000011000000000',5
'000011000001000',1
'000011110000110',1
'000011111110110',1
'000011111111110',15
'000100000000000',9
'000100000011110',1
'000100010000000',1
'000100111111110',1
'000101111111110',1
'000110000000000',1
'000110111111110',5
'000111000100000',1
'000111111111110',19
'000111111111111',1
'001000000000000',11
'001000001000000',1
'001001111111110',1
'001001111111111',1
'001010000000000',2
'001010111111110',2
'001011111110111',1
'001011111111110',3
'001011111111111',1
'001101111111110',1
'001110111111100',1
'001110111111110',1
'001111000000001',1
'001111111011110',1
'001111111111110',7
'001111111111111',7
'010000000000000',46
'010000000000100',1
'010000000000110',1
'010000000001110',1
'010000000011110',1
'010000000100000',2
'010000001100000',1
'010000010000000',3
'010001000000000',2
'010001111111110',1
'010010000000000',1
'010100000000000',1
'010111111111000',1
'010111111111110',4
'011000000000001',1
'011000001000000',1
'011011110000001',1
'011111000000001',1
'011111100000001',1
'011111111110001',1
'011111111111110',5
'011111111111111',19
'100000000000000',59
'100000000000010',2
'100000000000100',4
'100000000001000',3
'100000000010000',1
'100000000011000',1
'100000000100000',2
'100000000101000',1
'100000001000000',1
'100000001111110',1
'100000010000000',2
'100000010100000',1
'100000100000000',1
'100000100010000',1
'100000111111110',2
'100001000000000',6
'100001111111110',1
'100011000000000',1
'100011111111111',1
'100111110000001',1
'100111111111110',2
'100111111111111',6
'101000000000000',2
'101000000000100',1
'101010000000001',1
'101011111011111',1
'101110000000001',1
'101110111111111',6
'101111101111111',1
'101111110000001',2
'101111111011111',4
'101111111111110',2
'101111111111111',46
'110000000000000',5
'110000000000001',9
'110000000001001',1
'110001000000000',1
'110011111011111',1
'110011111111111',2
'110100000000000',1
'110101111101111',1
'110110000000001',1
'110110111111111',7
'110111000000001',1
'110111100000001',2
'110111101111111',1
'110111110000001',2
'110111111000001',1
'110111111011111',9
'110111111101111',1
'110111111110001',1
'110111111110111',1
'110111111111001',1
'110111111111011',1
'110111111111101',1
'110111111111110',1
'110111111111111',65
'111000000000001',20
'111000000000111',1
'111000000100001',1
'111000001000001',1
'111001111111111',1
'111010000000001',1
'111010010000001',1
'111010111011111',1
'111011000000001',1
'111011111011111',2
'111011111111011',2
'111011111111111',27
'111100000000001',9
'111100111111111',1
'111101000000001',1
'111101000000011',1
'111101100000001',1
'111101101111111',1
'111101111011111',3
'111101111110001',1
'111101111110111',1
'111101111111101',1
'111101111111111',18
'111110000000000',1
'111110000000001',17
'111110000000101',1
'111110000011111',1
'111110001111111',1
'111110010000001',1
'111110011111111',1
'111110101111111',2
'111110110000001',1
'111110111011111',3
'111110111101111',1
'111110111111001',1
'111110111111101',1
'111110111111110',2
'111110111111111',121
'111111000000000',1
'111111000000001',18
'111111001111111',1
'111111010000001',1
'111111011100001',1
'111111011111001',1
'111111011111111',10
'111111100000001',11
'111111101000001',1
'111111101011111',2
'111111101111101',1
'111111101111111',13
'111111110000001',8
'111111110000011',1
'111111110011001',1
'111111110111111',12
'111111111000000',1
'111111111000001',11
'111111111001111',2
'111111111010001',2
'111111111010111',1
'111111111011001',1
'111111111011101',3
'111111111011111',83
'111111111100001',20
'111111111100011',1
'111111111100111',2
'111111111101111',16
'111111111110001',14
'111111111110011',1
'111111111110101',4
'111111111110110',1
'111111111110111',20
'111111111111001',10
'111111111111011',10
'111111111111101',26
'111111111111110',16
'111111111111111',1609
