Bitstring,Count
'00000000000000000000',1087
'00000000000000000001',30
'00000000000000000010',305
'00000000000000000011',6
'00000000000000000100',55
'00000000000000000101',2
'00000000000000000110',21
'00000000000000001000',104
'00000000000000001001',2
'00000000000000001010',21
'00000000000000001011',1
'00000000000000001100',5
'00000000000000001101',1
'00000000000000001110',5
'00000000000000010000',27
'00000000000000010001',1
'00000000000000010010',9
'00000000000000010100',3
'00000000000000010110',2
'00000000000000011000',3
'00000000000000011100',1
'00000000000000011110',7
'00000000000000100000',8
'00000000000000100001',1
'00000000000000100010',1
'00000000000000100100',2
'00000000000000101000',3
'00000000000000110001',1
'00000000000000110010',1
'00000000000000111010',1
'00000000000000111100',1
'00000000000000111110',6
'00000000000001000000',5
'00000000000001000010',1
'00000000000001001010',2
'00000000000001100000',1
'00000000000001101110',1
'00000000000001111110',5
'00000000000010000000',11
'00000000000010000010',4
'00000000000010001010',1
'00000000000010001100',1
'00000000000010101010',1
'00000000000011000000',3
'00000000000011001010',1
'00000000000011101110',2
'00000000000011111100',1
'00000000000011111110',4
'00000000000100000000',11
'00000000000100000001',1
'00000000000100000010',4
'00000000000100000100',1
'00000000000100001000',1
'00000000000100011000',1
'00000000000101101110',1
'00000000000101111110',1
'00000000000110000000',1
'00000000000110101110',1
'00000000000111000000',1
'00000000000111101000',1
'00000000000111101110',1
'00000000000111110110',1
'00000000000111111100',1
'00000000000111111110',5
'00000000001000000000',24
'00000000001000000001',1
'00000000001000000010',7
'00000000001000000011',1
'00000000001000000110',1
'00000000001000001000',4
'00000000001000010000',1
'00000000001000011000',1
'00000000001010001000',1
'00000000001011010010',1
'00000000001011101110',1
'00000000001011111110',1
'00000000001100000000',1
'00000000001100000010',1
'00000000001110000000',1
'00000000001110000100',1
'00000000001110011110',1
'00000000001110101110',1
'00000000001111110110',1
'00000000001111111100',1
'00000000001111111110',3
'00000000010000000000',27
'00000000010000000001',1
'00000000010000000010',6
'00000000010000000110',1
'00000000010000001000',1
'00000000010000011000',1
'00000000010000101000',1
'00000000010010110000',1
'00000000010100000000',1
'00000000010101101110',1
'00000000010110000000',1
'00000000010111100110',1
'00000000010111101010',1
'00000000011000000000',4
'00000000011000000010',2
'00000000011111011110',1
'00000000011111111110',2
'00000000100000000000',10
'00000000100000001000',1
'00000000100010000000',1
'00000000101110000000',1
'00000000101111111100',1
'00000000101111111110',1
'00000000110000000000',1
'00000000110111111110',1
'00000000111000000000',1
'00000000111111101000',1
'00000000111111111010',1
'00000000111111111110',2
'00000001000000000000',15
'00000001000000000010',4
'00000001000000000100',1
'00000001000000000110',3
'00000001000000001000',1
'00000001000000010000',1
'00000001000100000010',1
'00000001001000000000',1
'00000001010000000000',1
'00000001111100011010',1
'00000001111111011110',1
'00000001111111101110',1
'00000001111111111110',4
'00000010000000000000',32
'00000010000000000001',3
'00000010000000000010',5
'00000010000000000100',2
'00000010000000000101',1
'00000010000000000110',2
'00000010000000001000',4
'00000010000000001010',1
'00000010000000010000',1
'00000010000000010100',1
'00000010000000100000',1
'00000010000010000000',1
'00000010010000000000',2
'00000011011111111000',1
'00000011111011111110',1
'00000011111110111100',1
'00000011111110111110',1
'00000011111111010110',1
'00000011111111110101',1
'00000011111111111000',1
'00000011111111111010',1
'00000011111111111100',1
'00000011111111111110',8
'00000100000000000000',5
'00000100000000000010',2
'00000100000000000100',1
'00000100000000001001',1
'00000101011001000001',1
'00000110000000000000',2
'00000110000000000001',1
'00000110000000001000',1
'00000110111111111010',1
'00000111111011111110',1
'00000111111110111010',1
'00000111111110111110',1
'00000111111111100110',1
'00000111111111101111',1
'00000111111111111010',1
'00000111111111111110',8
'00001000000000000000',15
'00001000000000000001',2
'00001000000000000010',1
'00001000000000000100',1
'00001000000000001000',2
'00001000000000001010',2
'00001000000000001100',1
'00001000000000010000',1
'00001000000000101010',1
'00001000000011111110',1
'00001000100010000000',1
'00001001000000000000',1
'00001001100000000000',1
'00001001111111101110',1
'00001010000000000000',2
'00001010000000000010',1
'00001011111111111110',1
'00001100100000000000',1
'00001101000000000000',1
'00001110000000000000',2
'00001110111011111000',1
'00001110111111111100',1
'00001111011111100000',1
'00001111110000000110',1
'00001111110111111110',1
'00001111111110111110',1
'00001111111111111110',1
'00010000000000000000',50
'00010000000000000001',4
'00010000000000000010',20
'00010000000000000100',3
'00010000000000000110',2
'00010000000000001000',3
'00010000000000001010',4
'00010000000000001100',2
'00010000000000001110',1
'00010000000000010000',7
'00010000000000010010',4
'00010000000000011010',1
'00010000000000011110',3
'00010000000000100000',2
'00010000000000100010',1
'00010000000000101000',2
'00010000000000101010',1
'00010000000000111110',2
'00010000000001000000',1
'00010000000001000010',1
'00010000000001011110',1
'00010000000001100000',1
'00010000000001100010',1
'00010000000010000000',1
'00010000000010000010',1
