Bitstring,Count
'00000000000000000000',1231
'00000000000000000010',56
'00000000000000000100',31
'00000000000000000110',10
'00000000000000001000',271
'00000000000000001010',8
'00000000000000001100',13
'00000000000000001110',9
'00000000000000010000',23
'00000000000000010010',1
'00000000000000010100',2
'00000000000000010110',1
'00000000000000011000',11
'00000000000000011110',3
'00000000000000100000',19
'00000000000000100010',1
'00000000000000100110',1
'00000000000000101000',5
'00000000000000101110',2
'00000000000000110000',1
'00000000000000111000',2
'00000000000000111110',8
'00000000000001000000',3
'00000000000001001000',2
'00000000000001011110',1
'00000000000001100000',1
'00000000000001111110',6
'00000000000010000000',18
'00000000000010001000',5
'00000000000010001010',1
'00000000000010010000',1
'00000000000010111110',1
'00000000000011000000',1
'00000000000011100000',1
'00000000000011111110',4
'00000000000100000000',11
'00000000000100000010',1
'00000000000100001000',2
'00000000000100010000',1
'00000000000100111110',1
'00000000000101111110',1
'00000000000110001000',1
'00000000000111001000',1
'00000000000111111110',8
'00000000001000000000',38
'00000000001000000010',1
'00000000001000000100',1
'00000000001000001000',6
'00000000001000001100',1
'00000000001000001110',1
'00000000001000010000',1
'00000000001000101000',1
'00000000001010000000',1
'00000000001011111110',1
'00000000001101111110',1
'00000000001111011110',1
'00000000001111111110',5
'00000000010000000000',16
'00000000010000000010',1
'00000000010000000100',1
'00000000010000000110',1
'00000000010000001000',3
'00000000010000001100',1
'00000000010010000000',1
'00000000010010100000',1
'00000000011111101110',1
'00000000011111111110',2
'00000000100000000000',18
'00000000100000000010',1
'00000000100000000100',2
'00000000100000001000',10
'00000000100000010000',1
'00000000100001000000',1
'00000000100100000000',1
'00000000100100111110',1
'00000000100111111110',2
'00000000101000000000',2
'00000000110000000000',2
'00000000111111111110',3
'00000001000000000000',39
'00000001000000000100',2
'00000001000000001000',16
'00000001000000011000',1
'00000001000010000000',1
'00000001000100000000',1
'00000001000110000000',1
'00000001000111111110',1
'00000001001000000000',2
'00000001001000001010',1
'00000001001110111110',1
'00000001010000000100',1
'00000001011000001000',1
'00000001011111111110',4
'00000001100000000000',1
'00000001101000000000',1
'00000001101000000010',1
'00000001101111011110',1
'00000001111111111110',4
'00000010000000000000',37
'00000010000000001000',5
'00000010000000001100',1
'00000010000000001110',1
'00000010000000010000',1
'00000010000000111110',1
'00000010001000000000',2
'00000010001000001000',1
'00000011000000000000',4
'00000011011111111110',1
'00000011111101110000',1
'00000011111110111110',1
'00000011111111001110',1
'00000011111111111110',6
'00000100000000000000',10
'00000100000000001000',5
'00000100000011111110',1
'00000100111111111110',1
'00000101000000000000',1
'00000101111110111110',1
'00000101111111101110',1
'00000110000000000000',4
'00000111000001100000',1
'00000111011111111110',1
'00000111111101111110',1
'00000111111110111110',1
'00000111111111111101',1
'00000111111111111110',2
'00001000000000000000',15
'00001000000000000010',1
'00001000000000000100',2
'00001000000000001000',2
'00001000000000001110',1
'00001000000001000000',1
'00001000001000000000',1
'00001000001000010000',1
'00001000001111111110',1
'00001001000000000000',1
'00001001000000001110',1
'00001001100111111110',1
'00001010000000000000',4
'00001010000000000100',1
'00001010000000001000',1
'00001010001110111110',1
'00001010110000000000',1
'00001010111111111110',1
'00001011011111111110',1
'00001100000000000000',2
'00001101111111111110',1
'00001110000000000000',1
'00001110000000000100',1
'00001110001001001110',1
'00001110011111111110',1
'00001111011111111111',1
'00001111111101111110',1
'00001111111111111110',5
'00010000000000000000',41
'00010000000000000100',2
'00010000000000000110',1
'00010000000000001000',10
'00010000000000010000',18
'00010000000000010010',1
'00010000000000010110',1
'00010000000000011000',2
'00010000000000011100',1
'00010000000000011110',1
'00010000000000100000',3
'00010000000000101000',1
'00010000000000101110',3
'00010000000000110000',3
'00010000000000110100',1
'00010000000000111000',1
'00010000000001000000',1
'00010000000001011000',1
'00010000000001011110',1
'00010000000001101000',1
'00010000000001101110',2
'00010000000001111110',1
'00010000000010000000',5
'00010000000010000100',1
'00010000000010010000',1
'00010000000010100000',1
'00010000000010111110',1
'00010000000011001110',1
'00010000000011101110',1
'00010000000011111000',1
'00010000000011111110',1
'00010000000100000000',3
'00010000000100001000',2
'00010000000111111110',2
'00010000001000000000',3
'00010000001000100000',1
'00010000001001100110',1
'00010000001010000000',1
'00010000001101101110',1
'00010000001111011110',1
'00010000001111111110',1
'00010000010000000000',2
'00010000010000101110',1
'00010000010010000000',1
'00010000010111111010',1
'00010000010111111110',1
'00010000011010100110',1
'00010000011100000100',1
'00010000011100011110',1
'00010000011101011110',1
'00010000011111111110',2
'00010000100000000000',2
'00010000100000000100',1
'00010000101000000000',1
'00010000101111111110',1
'00010000110000000000',1
'00010000110110011110',1
'00010000111000000000',1
'00010000111011111110',1
'00010000111111111110',1
'00010001000000000000',4
'00010001000000001000',1
'00010001001000000000',2
'00010001001110000000',1
'00010001001111111110',1
'00010001010000000000',1
'00010001011111111111',1
'00010001100000000000',1
'00010001110000000000',1
'00010010000000000000',1
'00010010000000001000',2
'00010010000000010000',1
'00010010000000011010',1
'00010010000001111000',1
'00010010000010001000',1
'00010010000011000000',1
'00010011111111111110',1
'00010100000000000000',1
'00010100000000000100',1
'00010100000000001110',1
'00010110111111111111',1
'00010111111111111110',1
'00011000000000000000',3
'00011000011111101110',1
'00011000101111111110',1
'00011001001000000000',1
'00011001101000000001',1
'00011011000000000000',1
'00011011111111111111',1
'00011100000000000000',1
'00011100000000000001',1
'00011110000000001000',1
'00011110110100111111',1
'00011110111111101110',1
'00011111011111111111',1
'00011111110111111110',2
'00011111111111101110',1
'00011111111111111110',12
'00011111111111111111',1
'00100000000000000000',14
