Bitstring,Count
'0000000000',675
'0000000001',11
'0000000010',47
'0000000100',21
'0000000110',8
'0000001000',20
'0000001001',1
'0000001010',1
'0000001100',2
'0000001110',6
'0000010000',37
'0000010010',3
'0000010100',1
'0000010110',1
'0000011000',5
'0000011100',1
'0000011110',9
'0000100000',16
'0000100010',2
'0000100100',1
'0000101100',1
'0000101110',1
'0000110000',1
'0000111110',11
'0001000000',52
'0001000010',1
'0001000110',2
'0001010000',3
'0001011110',4
'0001110100',1
'0001110110',2
'0001111110',4
'0010000000',21
'0010000001',3
'0010000010',3
'0010010000',1
'0010100001',1
'0010111111',1
'0011000000',3
'0011000010',1
'0011011111',2
'0011110011',1
'0011111101',1
'0011111110',10
'0011111111',13
'0100000000',10
'0100010000',1
'0100011110',1
'0100110000',1
'0100111110',1
'0101111111',1
'0110000000',1
'0111000001',1
'0111011111',1
'0111110111',3
'0111111011',1
'0111111110',8
'0111111111',13
'1000000000',12
'1000000001',1
'1000000010',2
'1000000101',1
'1000010000',3
'1001000011',1
'1001010001',1
'1001111111',2
'1010000000',2
'1010010000',1
'1010010110',1
'1010100000',1
'1010111101',1
'1011000001',1
'1011011111',2
'1011100001',1
'1011101111',1
'1011110111',1
'1011111100',1
'1011111101',1
'1011111110',3
'1011111111',23
'1100000000',5
'1100000001',8
'1100000010',1
'1100000100',1
'1100001011',1
'1100100001',1
'1100111111',2
'1101000000',1
'1101000011',1
'1101011110',1
'1101110111',1
'1101111110',2
'1101111111',7
'1110000000',1
'1110000001',2
'1110110111',2
'1110111011',1
'1110111101',1
'1110111110',1
'1110111111',22
'1111000000',1
'1111000001',16
'1111001001',1
'1111001111',1
'1111010001',3
'1111010111',1
'1111011011',1
'1111011101',1
'1111011110',1
'1111011111',13
'1111100001',9
'1111100101',1
'1111101100',1
'1111101101',1
'1111101110',1
'1111101111',20
'1111110001',4
'1111110011',3
'1111110101',4
'1111110111',26
'1111111001',8
'1111111010',1
'1111111011',16
'1111111100',1
'1111111101',25
'1111111110',17
'1111111111',643
