shot,bitstring
0,0000000000
1,0000000000
2,1111111111
3,0000000000
4,1111111111
5,0000000000
6,1111111111
7,1000010000
8,0000000000
9,1111110011
10,0001000000
11,1111111111
12,0111111110
13,1111111111
14,0011000000
15,1111111111
16,1111111111
17,1111111111
18,1111111111
19,1111111111
20,1111111101
21,0000000000
22,1111111101
23,0001000000
24,0111111111
25,0111111111
26,1111111111
27,1111111011
28,0000000000
29,0000000000
30,1111111111
31,0000000000
32,1111111111
33,1111111111
34,0000000000
35,1111111111
36,0000000000
37,1111111111
38,0000000001
39,0000000000
40,0000011000
41,1111100001
42,0011011111
43,1110111111
44,1111111110
45,0111111111
46,1111111011
47,0000100000
48,0000010000
49,1100000000
50,1111111111
51,1111110111
52,0000000000
53,0100000000
54,1111111111
55,0000000000
56,1111111111
57,1111111111
58,0001000000
59,0000000000
60,0000000000
61,0000000000
62,0000000000
63,1111111111
64,1111111111
65,0000000000
66,0000000000
67,0000000000
68,0000000000
69,0000001000
70,1111111111
71,0000000000
72,0000000000
73,0000000000
74,1111111111
75,0000000000
76,1111111111
77,1111111111
78,0000000010
79,0000011000
80,1110111111
81,0000000000
82,1111111111
83,1111111111
84,0000001000
85,0000000000
86,0000000000
87,1111000001
88,1111111111
89,0010000000
90,1011101111
91,1111111111
92,0011000000
93,0000000000
94,0000000000
95,0000000000
96,1111111111
97,0000000000
98,1111111111
99,0000100000
100,1011111111
101,0000010000
102,0000010000
103,1111111111
104,1111111111
105,0000000000
106,0000000000
107,1111111111
108,1111111001
109,1111111001
110,1111111001
111,0000000010
112,1111111111
113,1111111111
114,1111011111
115,0000000000
116,0000000000
117,0000000000
118,1101111111
119,1001000011
120,0000000010
121,1111010001
122,1111111111
123,0000000010
124,0000000000
125,1111111111
126,1111111110
127,0000000000
128,1111101111
129,0001111110
130,0010000000
131,1111111101
132,0000000010
133,1111111111
134,0111111111
135,0000000000
136,1111111111
137,1111111111
138,1111011111
139,1111111111
140,1111111111
141,1111100001
142,0000000000
143,0000000000
144,0000000000
145,1111011111
146,0000000000
147,0000000010
148,1011111111
149,0000000000
150,1011111111
151,1111111111
152,0100000000
153,0000000000
154,1111111111
155,1111111111
156,1000000000
157,0000000000
158,0000000000
159,1111111111
160,0001011110
161,1111111111
162,1111111111
163,0000010000
164,0000000000
165,0000000000
166,1111111101
167,1111111111
168,0000000100
169,0000000000
170,0000000000
