Bitstring,Count
'000000000000000',3046
'000000000000001',95
'000000000000010',167
'000000000000100',44
'000000000000101',1
'000000000000110',19
'000000000001000',45
'000000000001010',3
'000000000001100',1
'000000000001110',10
'000000000010000',63
'000000000010001',5
'000000000010010',9
'000000000010100',1
'000000000010110',4
'000000000011000',4
'000000000011010',1
'000000000011100',3
'000000000011110',10
'000000000100000',51
'000000000100001',1
'000000000100010',3
'000000000100110',1
'000000000101000',1
'000000000101110',2
'000000000110000',6
'000000000110110',1
'000000000111100',1
'000000000111110',15
'000000000111111',1
'000000001000000',429
'000000001000001',9
'000000001000010',19
'000000001000100',5
'000000001000110',5
'000000001001000',4
'000000001001010',2
'000000001001110',6
'000000001010000',9
'000000001010010',1
'000000001010110',3
'000000001011000',1
'000000001011110',2
'000000001100000',11
'000000001100010',1
'000000001101110',1
'000000001110000',4
'000000001111100',1
'000000001111110',10
'000000001111111',1
'000000010000000',29
'000000010000010',2
'000000010001000',1
'000000010001110',1
'000000010010000',2
'000000010011110',2
'000000010100000',4
'000000010100001',1
'000000010100010',1
'000000010101110',2
'000000010110000',2
'000000010111110',9
'000000011000000',15
'000000011001110',1
'000000011010000',1
'000000011011000',1
'000000011100100',1
'000000011101110',2
'000000011110000',1
'000000011111000',1
'000000011111110',18
'000000011111111',2
'000000100000000',35
'000000100000001',3
'000000100000010',4
'000000100000110',1
'000000100001110',1
'000000100010010',1
'000000100011110',1
'000000100111110',4
'000000101000000',8
'000000101000001',1
'000000101000010',1
'000000101000100',1
'000000101001000',1
'000000101100000',1
'000000101101110',1
'000000101111110',2
'000000110000000',4
'000000110000010',1
'000000110011110',1
'000000110101000',2
'000000110111110',5
'000000111000000',7
'000000111000001',3
'000000111010000',1
'000000111011110',1
'000000111100000',1
'000000111110000',1
'000000111111110',12
'000000111111111',1
'000001000000000',47
'000001000000001',3
'000001000000100',2
'000001000001000',2
'000001000001100',1
'000001000010000',2
'000001000011100',1
'000001000100000',1
'000001001000000',5
'000001001100000',1
'000001001111110',1
'000001010000000',1
'000001011111110',1
'000001100000000',5
'000001110111110',1
'000001111011110',1
'000001111110000',1
'000001111111110',20
'000010000000000',20
'000010000000001',1
'000010000010000',1
'000010000111110',1
'000010001000000',3
'000010010110000',1
'000010111011110',1
'000010111101110',1
'000010111111110',4
'000011000000000',6
'000011010001010',1
'000011010111110',1
'000011011000000',1
'000011100000000',2
'000011101000000',1
'000011110111110',2
'000011111000000',1
'000011111001000',1
'000011111011110',1
'000011111101101',1
'000011111101110',1
'000011111110110',1
'000011111111010',1
'000011111111110',14
'000100000000000',45
'000100000000001',3
'000100000000010',2
'000100000010000',1
'000100000010010',1
'000100001000000',6
'000100010000000',1
'000100011111110',1
'000100011111111',1
'000100110111110',3
'000100111001110',1
'000100111111000',1
'000100111111100',1
'000100111111110',6
'000101000000000',5
'000101000010000',1
'000101101110000',1
'000101110111110',2
'000101111011110',2
'000101111101110',1
'000101111110110',1
'000101111111000',1
'000101111111110',13
'000110000000000',3
'000110000010000',1
'000110010000000',1
'000110111111110',1
'000110111111111',1
'000111000000000',1
'000111001111110',1
'000111110111110',4
'000111111011110',1
'000111111110110',1
'000111111111010',2
'000111111111110',16
'000111111111111',2
'001000000000000',26
'001000000000001',2
'001000000000010',2
'001000000000100',2
'001000000001000',1
'001000000010100',1
'001000000100000',1
'001000001000000',2
'001000001000001',1
'001000001000010',1
'001000010000000',1
'001000010101000',1
'001000100000000',1
'001000100101110',1
'001000110111110',1
'001001000000000',1
'001001111111110',1
'001010001000000',1
'001011111011110',1
'001011111111110',6
'001100000000000',3
'001100000000010',1
'001100000011110',1
'001100000100000',1
'001100001000000',2
'001100011101110',1
'001101111111110',1
'001110000000000',2
'001110111111110',2
'001111001000000',1
'001111011111111',1
'001111110111110',2
'001111111101110',1
'001111111111100',1
'001111111111110',11
'001111111111111',1
'010000000000000',88
'010000000000001',6
'010000000000010',4
'010000000000011',1
'010000000000100',4
'010000000000101',1
'010000000001000',1
'010000000001001',2
'010000000001110',3
'010000000010000',1
'010000000011110',1
'010000000100000',2
'010000001000000',11
'010000001000100',1
'010000001010010',1
'010000010100000',1
'010000010101001',1
'010000010110000',1
'010000011111110',1
'010000100000000',2
'010000100000010',1
'010000110100000',1
'010000111111110',1
'010000111111111',1
'010001000000000',3
'010001111111110',1
'010010000000000',1
'010011110011110',1
'010011110111110',1
'010011111101110',1
'010011111111110',2
'010011111111111',2
'010100000000000',2
'010100000000001',1
'010100000010000',1
'010101000000000',1
'010101110111110',1
'010101111111110',1
'010111111111100',1
'010111111111110',8
'010111111111111',3
'011000000000000',4
'011000000000010',1
'011000001000000',1
'011001111111110',1
'011011101111110',1
'011100000000000',1
'011100000000010',1
'011100001000000',1
'011101111111011',1
'011101111111111',1
'011111011111111',1
'011111110111110',2
'011111110111111',2
'011111111000001',1
'011111111011111',1
'011111111111100',1
'011111111111101',1
'011111111111110',8
'011111111111111',17
'100000000000000',10
'100000000000001',7
'100000000000011',1
'100000000000100',2
'100000000010110',1
'100000001000000',1
'100011111111111',1
'100100000000001',2
'100101111111110',1
'100111110011111',1
'100111110111111',2
'100111111111111',4
'101000000000001',7
'101001000000001',1
'101001111111111',1
'101011011111110',1
'101011110111111',1
'101011111111110',1
'101011111111111',2
'101100000000001',2
'101101000000001',1
'101101001000001',1
'101101111101011',1
'101101111101111',2
'101101111111111',3
'101110001001001',1
'101110111111111',2
'101111000000001',1
'101111000000011',1
'101111011101111',1
'101111011111111',2
'101111101000001',1
'101111101111110',1
'101111101111111',1
'101111110001111',1
'101111110011111',1
'101111110100111',1
'101111110111111',21
'101111111011111',7
'101111111100001',1
'101111111100011',1
'101111111101101',1
'101111111101111',1
'101111111110001',1
'101111111110100',1
'101111111111001',2
'101111111111010',1
'101111111111011',2
'101111111111101',3
'101111111111110',7
'101111111111111',96
'110000000000000',7
'110000000000001',17
'110000000000101',2
'110000000100001',1
'110000001000000',1
'110000001000001',6
'110000100101111',1
'110000111111110',1
'110000111111111',1
'110001000000000',1
'110001111111111',1
'110010000000001',2
'110010001000001',1
'110011000000001',1
'110011110111111',1
'110011111111110',1
'110011111111111',2
'110100000000001',10
'110100000010001',2
'110100000100001',1
'110100001000001',2
'110100011111111',1
'110101000000001',1
'110101111111111',2
'110110111111111',1
'110111101111111',3
'110111110011001',1
'110111110101011',1
'110111110101111',1
'110111110111111',8
'110111111000001',1
'110111111011000',1
'110111111011111',3
'110111111101111',3
'110111111111011',1
'110111111111101',2
'110111111111111',43
'111000000000001',19
'111000000000011',2
'111000000010001',1
'111000000010101',1
'111000001000001',2
'111000011000001',1
'111000110111111',1
'111000111111111',4
'111001000000001',11
'111001110000001',1
'111001111011111',1
'111001111100001',1
'111001111111111',12
'111010000000001',15
'111010001000001',2
'111010010000001',2
'111010011111111',1
'111010111111111',1
'111011000000001',9
'111011000000011',1
'111011000000111',1
'111011000001001',1
'111011000010001',2
'111011000111111',1
'111011010000001',1
'111011010101001',1
'111011011010111',1
'111011011110001',1
'111011011111101',1
'111011100000001',1
'111011100000011',2
'111011100111111',1
'111011101111111',1
'111011110101111',2
'111011110111011',1
'111011110111101',1
'111011110111111',12
'111011111001111',1
'111011111011111',5
'111011111101111',2
'111011111110111',2
'111011111111011',2
'111011111111101',3
'111011111111110',2
'111011111111111',67
'111100000000001',9
'111100000000011',1
'111100000000101',1
'111100000000111',1
'111100000011111',1
'111100000100001',1
'111100001000001',1
'111100001010101',1
'111100011111111',1
'111100111011111',1
'111100111111111',8
'111101000000001',2
'111101010100001',1
'111101011000011',1
'111101100000001',2
'111101110000001',1
'111101110011111',1
'111101110111101',2
'111101110111111',11
'111101111011111',5
'111101111101001',2
'111101111101111',2
'111101111110101',1
'111101111110111',1
'111101111111011',3
'111101111111101',6
'111101111111111',99
'111110000000001',11
'111110000000011',1
'111110001000001',2
'111110001010111',1
'111110001111111',1
'111110011111111',5
'111110100000001',1
'111110101001111',1
'111110101010001',1
'111110101111111',1
'111110110100001',1
'111110110111011',1
'111110110111111',14
'111110111011111',2
'111110111100001',1
'111110111101111',2
'111110111110011',1
'111110111110111',2
'111110111111011',2
'111110111111111',64
'111111000000001',15
'111111000000011',2
'111111000010001',1
'111111000011111',1
'111111000100001',2
'111111000101111',1
'111111000110001',1
'111111000111111',3
'111111001000001',6
'111111001011111',1
'111111001100001',3
'111111001101101',1
'111111001101111',1
'111111001111011',1
'111111001111101',1
'111111001111111',7
'111111010000001',4
'111111010011111',1
'111111010100001',1
'111111010101101',1
'111111010110001',2
'111111010111011',1
'111111010111111',11
'111111011000001',5
'111111011000101',1
'111111011000111',1
'111111011011111',2
'111111011100101',1
'111111011101001',1
'111111011101111',3
'111111011110111',2
'111111011111101',1
'111111011111111',54
'111111100000001',10
'111111100001111',2
'111111100010001',1
'111111100011111',1
'111111100100001',1
'111111100110001',1
'111111100111101',1
'111111100111111',7
'111111101000001',1
'111111101001111',1
'111111101010001',1
'111111101011111',6
'111111101100001',4
'111111101101101',2
'111111101101111',3
'111111101110111',1
'111111101111011',1
'111111101111101',2
'111111101111110',1
'111111101111111',32
'111111110000001',10
'111111110001001',3
'111111110001111',3
'111111110010000',1
'111111110010001',1
'111111110010110',1
'111111110011001',1
'111111110011111',20
'111111110100001',5
'111111110100111',1
'111111110101001',1
'111111110101101',1
'111111110101111',13
'111111110110001',8
'111111110110111',5
'111111110111001',5
'111111110111011',14
'111111110111101',15
'111111110111110',4
'111111110111111',432
'111111111000001',18
'111111111000111',2
'111111111001001',2
'111111111001111',5
'111111111010001',4
'111111111010111',1
'111111111011001',2
'111111111011011',1
'111111111011101',7
'111111111011110',2
'111111111011111',145
'111111111100001',12
'111111111100011',1
'111111111100101',1
'111111111100111',2
'111111111101000',1
'111111111101001',6
'111111111101011',4
'111111111101101',5
'111111111101111',74
'111111111110001',9
'111111111110011',6
'111111111110101',2
'111111111110111',31
'111111111111001',16
'111111111111011',57
'111111111111101',110
'111111111111110',16
'111111111111111',2918
