shot,bitstring
0,000000000000000
1,111111110111111
2,111111111111111
3,111111011111101
4,100111111111111
5,111111111111111
6,000000000000000
7,111111111111111
8,111111111111111
9,000000000000000
10,111111111111111
11,000000000000000
12,111111111111111
13,000000000000000
14,111111111111111
15,111111111111111
16,000000000000000
17,000000000000000
18,000000000000001
19,000000001000100
20,111111111011111
21,110111111101111
22,000000000000000
23,111101111111111
24,000000000000000
25,111111111111111
26,101111111111011
27,000000000000000
28,101111011101111
29,000000000000000
30,111111110111111
31,110111111111111
32,111111111101111
33,111111111111101
34,111111111111111
35,000000000000010
36,000000000000000
37,000000100000000
38,111111111111111
39,000000000000000
40,000000000000000
41,000000000000000
42,000000000000000
43,000000000000000
44,111111111011111
45,111111111111111
46,000000000000000
47,111111111111111
48,111111111111111
49,000000001001000
50,111111110111111
51,010000000000000
52,111111111111111
53,111111111011101
54,111111111111111
55,111111111111111
56,111111111111111
57,111111111111111
58,111111111111111
59,111110011111111
60,000000000000000
61,000000000000000
62,000000000000000
63,000000000000000
64,111111111111111
65,111111101110111
66,111111111111101
67,111111111111111
68,111111111111111
69,000000000000000
70,000000000000000
71,111101111111111
72,101111111111111
73,111111111111111
74,001000000000000
75,000000000000000
76,111111110111111
77,111111111111111
78,000000010000000
79,111111111111111
80,000000000000000
81,111111110111111
82,000000001000000
83,111111111111111
84,000000001011110
85,000000000000000
86,101111110111111
87,111011111111111
88,000000000000000
89,000000000000010
90,111111111111111
91,111111111111111
92,000000000000000
93,000000000000000
94,000000000000100
95,111111111111111
96,111111110101111
97,000000000000000
98,111111111111111
99,000000000000000
100,000000000000000
101,111111110111111
102,000000000000000
103,111111111111111
104,000000000000000
105,111111111111111
106,111111110111111
107,000000000000000
108,000000001000000
109,000000000000000
110,111111111111111
111,111111111111111
112,111111111111111
113,000000000000000
114,111111111111111
115,111111111011111
116,000000000000000
117,111111111111111
118,000010000010000
119,000000001000000
120,111111111111111
121,000000000111110
122,110000000000001
123,111111111111111
124,111111011111111
125,000000000000000
126,111101111111111
127,000000000000000
128,111111111111111
129,000000000000000
130,111111111111111
131,000000001000000
132,000000000000000
133,000000000000000
134,111111111111111
135,111111111111111
136,111111111011111
137,000000000000000
138,000000000000000
139,000000001000000
140,111111111111111
141,111011110111111
142,000000000000000
143,000000000000000
144,000000001000000
145,000000000000000
146,111111110111111
147,000000001000000
148,111111111111111
149,011111111011111
150,111111111111111
151,111111111111111
152,111111111111111
153,111111111111111
154,111111111111111
155,000000000000000
156,111111111111111
157,111111111111111
158,000000000000000
159,000000000000000
