shot,bitstring
0,111111111111111
1,000111111111110
2,111111111111111
3,000000000000000
4,000000001000010
5,111110111111111
6,000000000000000
7,000000000000000
8,000000000000000
9,111111111111111
10,000000010000000
11,000000000000000
12,000000000000000
13,000000000000000
14,000000000000000
15,000000000000000
16,111111111101111
17,111111111111111
18,000000000000000
19,111111111111111
20,000001111111110
21,111111111111111
22,111111111111111
23,111000000001001
24,101111111111111
25,000000000000001
26,000000000000000
27,000000000010000
28,111111111111111
29,111111111111111
30,000000000000000
31,000000000000000
32,111111111111111
33,011111011111111
34,111111111111111
35,000000000000000
36,111111111111111
37,111111110111101
38,111111111111111
39,111111111011111
40,111111111111111
41,000000000000000
42,000000000000000
43,000000000000000
44,000000000000000
45,111111110111111
46,000000000000000
47,111111111111111
48,111111111111111
49,000000000000000
50,111011100000001
51,111101111111111
52,000000000000000
53,000000000000000
54,000000000010000
55,000000000000000
56,111111111111111
57,000000000000000
58,111111111111111
59,111111111111111
60,000000000000000
61,000000000000000
62,000000000000000
63,111101111000011
64,000000000000000
65,000000000000000
66,111111111111111
67,000000000000000
68,111111101111111
69,111111111111111
70,111111111111111
71,000000000000000
72,111111111111111
73,111111111111111
74,000000000001000
75,000001000000000
76,000000000000000
77,111111111111111
78,000000000000000
79,111111111111111
80,001000000000000
81,111111111111111
82,111111100000001
83,000000000000000
84,111111111111111
85,111111111111111
86,111111111011111
87,111111111111111
88,111111111111111
89,000000000000000
90,000000000100001
91,111111111111111
92,111111111111111
93,000000000000000
94,000000000001000
95,000000100000000
96,000000000000000
97,111111111111111
98,111111111111111
99,000000000000000
100,000000000000000
101,111111111101111
102,111101111111111
103,000000010000000
104,000000000000000
105,111111111111111
106,111111111101111
107,000000000000000
108,000000000000000
109,000000000000000
110,111111111111111
111,000000000000000
112,000000010000000
113,111111111111111
114,111111111111111
115,000000000000000
116,111111111111111
117,110111111011111
118,111111111111111
119,101111111111111
120,000000000000000
121,111111111111111
122,111111100000001
123,000011111111110
124,111111111111111
125,000000000000000
126,000000000000000
127,010000000000000
128,000000000000000
129,000000000000000
130,000000000000000
131,111111111111111
132,000000000000000
133,000000000000000
134,101111000000001
135,111000000000011
136,001000000000000
137,111111111111101
138,111111110111111
139,111111111111111
140,111111111111111
141,110101111111111
142,000000000000000
143,111111111111111
144,111111111111111
145,000000000001000
146,000010000000000
147,000000000000010
148,111111111111111
149,110000000000001
150,110111111111111
151,111111011111111
152,000000000000001
153,000100000010000
154,111111111111111
155,111110000000001
156,001011111111110
157,000000000000000
158,000000000000000
159,000000000000000
160,000000000000000
161,000000000000000
162,000000000000000
163,000000000000000
164,111111111111111
165,111111111111111
166,000000000000000
167,111111111111111
