shot,bitstring
0,111111111111111
1,000000000000000
2,000000000000000
3,111111111111111
4,111111111111111
5,000000000101000
6,111111111111111
7,000000000000010
8,000000110000000
9,000000000000000
10,000000000000000
11,000000000000000
12,000000000000000
13,110111110111111
14,000000000000000
15,000000000000000
16,000000000000000
17,111111111111111
18,111111111111111
19,101111111111111
20,111111111111111
21,000000000000000
22,000000000000000
23,111111111111111
24,000000001000000
25,110111111111110
26,000000000000000
27,000000000000000
28,111111111011111
29,000010000000010
30,000000100000000
31,111111111111111
32,111111111111111
33,111111011111111
34,111111111111111
35,000000000000000
36,000000000000000
37,000000000000000
38,111111111111111
39,010000000000000
40,000000000000000
41,111111111111111
42,000000000000000
43,111111111111111
44,000000000000000
45,000000000000000
46,000000000000000
47,000000000000000
48,000000000000000
49,000000000000000
50,000000000000000
51,111111111111111
52,000000001110000
53,000000000000000
54,111111111011111
55,111111101111111
56,111111111111111
57,000000000000000
58,111111111110111
59,111111111111111
60,111111111111111
61,111111111111111
62,111111111111111
63,000000000000000
64,000000000000000
65,111111111111101
66,000001101000000
67,111111111111101
68,000000000000000
69,000000000000000
70,000000000000000
71,000000000000000
72,000000000000000
73,000000000000000
74,111111111111111
75,111111111111111
76,111110000000001
77,000011111110110
78,110111111111111
79,000000000000000
80,000000000000000
81,000000000000000
82,110111111111111
83,000000000000000
84,101111111111111
85,000000000000000
86,111111100000001
87,111111111111111
88,000000000000000
89,000000000000000
90,110111111111111
91,000000000000010
92,111111111111111
93,111111111111101
94,111111111111111
95,111111111111111
96,111111111111101
97,000000000000000
98,111111111111111
99,000001000000000
100,000001000000000
101,111111111111111
102,000000000000010
103,111111101111111
104,000000000000000
105,100000000000000
106,000000000000000
107,110111111001111
108,000111110111110
109,000000000000000
110,000001000000000
111,000000010100000
112,000000000000010
113,111111111111101
114,111111111111111
115,111111111111111
116,000000000000000
117,000000000000000
118,111111111111111
119,000010000000000
120,111101111111111
121,110110111111111
122,111111111111111
123,111111111111111
124,111111111111111
125,000000000000010
126,111111111111111
127,101111111111111
128,000000000000010
129,111111111111111
130,000000000000000
131,111111111111111
132,111111111111111
133,000000000000000
134,111111111111111
135,000000000000000
136,111111111111111
137,111011111111111
138,111111111111111
139,111111111111111
140,111110111111111
141,111111111111111
142,111111111111111
143,111111111111111
144,111110101111111
145,000000000000000
146,010000000000000
147,100000000000000
148,111111111101111
149,111111111111111
150,111110111011111
151,111111111111111
152,111101000000001
153,111111111111111
154,000111111111110
155,000111111111110
156,111111111111111
157,111111101110111
158,000000010000000
159,000100110011110
160,000000000000000
161,000000000000000
162,111111111111111
163,111111111111111
164,111111111101111
165,000000000111110
166,000001000001010
167,111111110000111
168,111000000000001
169,111111101111111
170,000000000000000
171,111111111111111
172,111111111111111
173,000000000000000
174,111111111111111
175,111011101111101
176,110111111111101
177,111111111111111
178,111111111011111
179,000000001111110
180,000000000000000
181,111111111111111
182,111111111111111
183,111111111111111
184,101111111111111
185,111111111111111
186,111111111111111
187,000000000000000
188,111111111111111
189,111111111111111
190,000001000000000
191,000000000100000
192,000000000000000
193,000000000000010
194,111111111000011
195,000000000000000
196,000000000000000
197,000000000000000
198,110111111111111
199,111111111111111
