shot,bitstring
0,111111111111111
1,000000000000000
2,111111111111111
3,000000010000010
4,111110111111111
5,111111111111111
6,111111111111111
7,000000010000000
8,111011111111111
9,000001001000000
10,111111111111111
11,000001111111110
12,000000000000000
13,000000000000000
14,111111111110111
15,111111111111111
16,000000000000000
17,111111111111111
18,111111111111111
19,000000000000000
20,111111111110001
21,111111111111111
22,000000000000000
23,000000010000000
24,000000000000000
25,111111111111111
26,000000000000000
27,000000000000000
28,111111111111111
29,111111111111111
30,111111111111111
31,000000000010000
32,111111111111111
33,111111111111111
34,111111111111111
35,111111111111111
36,011111111111111
37,111111111111111
38,000000110000000
39,010000000000000
40,111111111111111
41,000000000000000
42,000000000000000
43,111111110000001
44,111111111111111
45,000010000000000
46,000000000000000
47,000000000000000
48,000000000000000
49,111101111011111
50,111011111111111
51,000000000000010
52,100001111111110
53,000000001000000
54,111111111111111
55,000000000000000
56,111111111111111
57,000000000000000
58,111111111111111
59,000000000000000
60,111111111011111
61,111111111111111
62,111111111111111
63,111111111111111
64,000000010001000
65,111111111111111
66,000000010000000
67,000000000000000
68,000000010000000
69,111111111000000
70,111111111111111
71,111111111111111
72,110111111111111
73,111111111111111
74,111111111111111
75,000000010000000
76,111111111111111
77,111111111111111
78,011011110000001
79,000000100000000
80,111111111111111
81,000000000000000
82,000000000000000
83,000000000000000
84,111111111111111
85,000010010000000
86,000000000000000
87,111111111111111
88,111111101011111
89,000000000000000
90,111111111111111
91,000000000000000
92,000000000000000
93,000000000000000
94,000000000000000
95,111111111111111
96,111111111111111
97,000000000000000
98,000010100011000
99,111000000000001
100,000000000000000
101,000000000000000
102,000000000000000
103,001000001000000
104,111111111111111
105,000000000000000
106,000000000000000
107,011111111110001
108,111111111111101
109,011111111111110
110,111111111111111
111,111111111011111
112,111101111111111
113,000010000000100
114,101111111111111
115,000000000000000
116,111111111111111
117,111111111111111
118,111111111111111
119,111111111111111
120,111110111111111
121,111111111111111
122,111111111111111
123,111111111111111
124,000000010000000
125,001011111111110
126,111111111111111
127,111111111111111
128,000000000000000
129,000000000000000
130,000000000000000
131,000000000000000
132,010000000000000
133,100111111111110
134,111111111111111
135,000000000000000
136,000000000010000
137,111111111111111
138,000000000000000
139,111111111111111
140,111101111110111
141,111011111111111
142,111111110111111
143,111111111111111
144,111111111111111
145,111111111111111
146,111101111111111
147,010000001100000
148,111110111111111
149,000000000000000
150,111010010000001
151,000000000010000
152,000000000000000
153,111110111111111
154,111111111110111
155,000010000000000
156,101111111111111
157,110111111110111
158,000000000011000
159,111111111111111
160,111111111111111
161,000001111111110
162,000000000000000
163,000000000000000
164,111111111111111
165,111111111111111
166,111110111111111
167,000000000000000
168,000000000000000
169,000000000000000
170,111111111111111
171,000000000001000
172,111111111111111
173,000000000000000
174,111111111111111
175,000001111011110
176,000000000000000
177,000000000000000
178,000000000000000
179,000000000000000
180,111111111111111
181,111111111011111
182,111111111111111
183,111110111101111
184,000000000000000
185,111111111111111
186,000000010000000
187,000000000000000
188,010000000000100
189,000000000000000
190,111111111111111
191,111111111111111
192,111111111111111
193,000000000000000
194,000000000010000
195,000000000000000
196,100000000000000
197,000000000000000
198,111111111111111
199,000000000000000
