shot,bitstring
0,11111111111110111111
1,00000000000000000000
2,11111111111110111111
3,00000000000000000000
4,11111111111111110111
5,11101110111111111111
6,11100111011111110111
7,00000000000000000001
8,11101111011111111101
9,00000000000000000000
10,10010110100000010001
11,00000000000000000000
12,11101111111111101111
13,00000000000000000010
14,00000000000000001000
15,11000110010000000000
16,00000000000000000000
17,00000000000000000000
18,00000000001000000000
19,00000000000000000000
20,00000000000000000000
21,11111111111111111111
22,00001000000000000000
23,00000000000000000000
24,00000000000000000000
25,11111111111111111111
26,00000000000000000000
27,11111111101010101111
28,00000000000000000000
29,00000000000000000000
30,00000000000000000000
31,00000000000000000010
32,00000011111111111100
33,00000000000000000000
34,11111111111101111111
35,11111110101000000001
36,11111111111111111111
37,00000000001000000010
38,11111111111111111111
39,11010100111110111111
40,00000000000000000000
41,11101111111111111111
42,00000000000000000101
43,11111111111111111111
44,11111111111111111111
45,00000000000000000000
46,11101111101111111111
47,00000000001000000000
48,11111111101111111111
49,00010000000000000010
50,00000000000000000000
51,00000000000000000000
52,00010000000000001000
53,11111111111111101111
54,11111101111111111111
55,11101111111110011111
56,00001000000000000000
57,11111111111111101101
58,11111111111111111111
59,00000111111011111110
60,00011000000000010000
61,11111111111111111111
62,11111111011111101111
63,00000000000000000100
64,11111111111111111101
65,00000000000000000000
66,00000000000000000000
67,00000000000001111110
68,11101111111111111111
69,11111111111011111111
70,11111011111111101111
71,00000000000000001000
72,01111110000000000010
73,00000000011111111110
74,11111111111111111101
75,11101111111111101101
76,00000000000000000000
77,11011111111111111111
78,00001000000000001010
79,11111111111111111101
80,11111111111111101101
81,11111111111111110111
82,11111101110110111111
83,00000000000000000000
84,11111111011111111111
85,00000000000000000000
86,00000000000000000001
87,00000000000000000000
88,00000000000000000000
89,00000000000000000010
90,00000000000000000010
91,00000000000000000000
92,11111111111111111111
93,00000000000000001010
94,00000000000000000000
95,00000000000000000000
96,00000000000000000001
97,11111111111111111111
98,11110111111111111101
99,00000000000010001100
100,00000000000000000000
101,11111111111111110111
102,11111110111111111111
103,00000000000000000000
104,11111111111111111111
105,00010000000000000010
106,00000000000000000000
107,11111111011111110111
108,00000000000000001000
109,11101111111111111111
110,11101111111111111111
111,00010000000000000000
112,11101110111111100101
113,11111111111011111111
114,10111111011111111111
115,00000000000000000000
116,11111111111111110111
117,11111111111111111101
118,01001000000000000010
119,11111111111111111111
120,11111011111101110111
121,00000000000000001000
122,11111111111111111111
123,00000000000000000000
124,01111110111111110110
125,00000000000000000000
126,11111111111111111111
127,10001000000000000000
128,00000110000000000000
129,11010001111111111110
130,11111111111111111111
131,00000000000000000000
132,00000000000000000000
133,11111111111111111111
134,00000000000000000000
135,11111111111111111111
136,11111111111111111111
137,11111111101111101111
138,11111111111111111111
139,11111111111111111111
140,00000000000000000000
141,11000101100000000011
142,11111111111111111101
143,11111111110111111101
144,00000000000000001010
145,11001111111111100011
146,11111111111111111111
147,11111111111111111111
148,11111111111110111111
149,00000000000000000000
150,11111111111111111111
151,00001000000000000000
152,11111111111111110101
153,00000000000000000010
154,00010000000000000000
155,11111111111111111111
156,00000000000000000000
157,11111111111111111101
158,11111111111111111111
159,11101111111000000001
160,11111111111111111111
161,11111111111110110011
162,11111111111111111111
163,00000000000000000000
164,11111111111111111011
165,11110000000000000001
166,11111111111111111111
167,11111111111111101101
168,00000000000000000010
169,11111111111111111111
170,11111111111111101111
171,11111111111111111111
172,11111111111111111101
173,00000000000000000000
174,11111111111111110111
175,00000000000000000000
176,10000001100000000000
177,11111111111111111111
178,00000000000000000000
179,11111111111111110101
180,00000000000000000000
181,00000000000000000000
182,00000000000000000000
183,00000000000000000000
184,00000000010000000000
185,11111110111111111111
186,11111111111111111111
187,00000000000000000000
188,00000000000000000110
189,11111111111111111111
190,11111111111111111111
191,11111111111111111111
192,11111111111111111101
193,11111111010111111111
194,00000000000000000010
195,00101001000000000000
196,00000000000000000010
197,11111111111111111111
198,11111111111111111111
199,11111011111111111111
200,11111111111111111111
201,11111111111111111111
202,00000000000000000010
203,00000000000000000010
204,00000000001111111100
205,11111111111111111101
206,11111011111111111111
207,00000000000000000000
208,00000000000100000010
209,11011111111111111111
210,00010000000000000010
211,11111111111111111111
212,00000000000001111110
213,11101111111010011111
214,00000000000000000000
215,00000000000000000000
216,00000010000000000000
217,11101110111111110111
218,00000000000000000000
219,11111111110111111111
220,00000000000000000000
221,00000000000000001110
222,00000000000000000000
223,11111111111111111111
224,00000000000000100000
225,11111111111111111111
226,11101111111111111111
227,00100000000000000000
228,11111111111111111111
229,11111111111111110111
230,00000010000000000001
231,11111111111111111101
232,00000000000000000010
233,00000000000000000000
234,11111101111111111111
235,00000000000000000000
236,00000000000000000000
237,00000000000000000010
238,11111111111111110111
239,00000000000000000000
240,00000000000000000000
241,00000000000000011000
242,11111111111111111111
243,11111111111111111111
244,11111111111011111111
245,11111111111111111101
246,11111111111111111111
247,00000000000000000010
248,11010111111111111111
249,11111111111111111111
250,11101111111111011111
251,00011000000000000000
252,11111111110111111001
253,00000010000000000000
254,00000000000000000000
255,11111111111111111101
256,11111110111110111111
257,11111111111111111111
258,11111111011111111111
259,11111110111111111111
260,11111111111111111011
261,00000000000000001100
262,11111111111011110001
263,11011111111111111011
264,11111111111111111011
265,10101110011111111100
266,00000000000000000100
267,00000000000000000100
268,00000000000000000110
269,11111111111111111011
270,00000000000000010100
271,00000000000000000110
272,11111111111111101111
273,11111111101111111001
274,11011111110001110001
275,11111111111111111011
276,00000010000000010100
277,11111111111010111011
278,11111111111111111011
279,00010000000000000100
280,11101111111111110101
281,11111111111111111011
282,11111111111111111011
283,00000000000000000100
284,00000011111111111000
285,00000000000000000000
286,00000000000000000000
287,00000000000000000000
288,11011111101000100001
289,00000000001011010010
290,11111111111111110001
291,11110111111111111111
292,11100111111111011111
293,11111111111111111111
294,00000000000000000000
295,00000000000000000010
296,00010000000000000110
297,11111111111011111111
298,00000000000000010000
299,00000000001000000010
300,11111111111111111111
301,11111111111110111111
302,11111101000000000001
303,11111111111111101101
304,00000000000000000000
305,11111111111111111111
306,00000111111111111110
307,00000000000000000000
308,11111111111111111111
309,00000000010000000000
310,00000000000000000010
311,00000000000000000010
312,11111111111111111111
313,11111111111111111111
314,00000000000000010010
315,00000000000000000000
316,00000000000000000000
317,11110111111111110011
318,00000000000100000000
319,00000010010000000000
320,00100000010000000000
321,00000000000000000000
322,11111111111011111111
323,00001001111111101110
324,00111111110111111110
325,11111111101111111111
326,11111111111111111111
327,11111111111111101111
328,00000000000000000000
329,00000000000000000000
330,11111111111111111101
331,11111110111111111111
332,11001111100111111111
333,11111111111111101111
334,00000000000000000010
335,11111111111111111111
336,11111111111111111111
337,11111111111111111111
338,11111111111111110111
339,11011111110000000001
340,11101110000000000001
341,00010000000000000000
342,11111111101111110111
343,00000000000000000000
344,00000000000000000000
345,00000000000000000000
346,10111111010111111111
347,11111111111111111111
348,00000000000000001010
349,11011111111101111111
350,00000000000000000000
351,11111111111111101111
352,00000000010000000000
353,00000000000000000000
354,00000000000000000000
355,11111110111111111111
356,11111111011111111111
357,11111111111111111101
358,00000000000000000000
359,00000000000000000100
360,11111111111111101111
361,00000000000000000000
362,00000000000000000000
363,00000000000000000010
364,00000000000000000010
365,11111111111111111111
366,11111111111111111111
367,11101111111111001111
368,00000000000000000000
369,11110011100000000000
370,11111111111111111011
371,00000000000000000000
372,00000000011000000010
373,11111111111111101111
374,00000000000000010000
375,11111111111111111101
376,00000000000000000000
377,11111111111111111111
378,11111111111111111111
379,00000001010000000000
380,11111111111111111101
381,11111111100000000001
382,11111111111111111101
383,00000000000000000000
384,00010000000000000000
385,01101111111111111111
386,11110111111111111101
387,00000000000000000000
388,00000000000000000000
389,00001000000000000000
390,00000000000000000000
391,11111111111111111111
392,11111111111111110001
393,00010000000000000000
394,11111111111111101111
395,00000001000000000000
396,11111111010000000001
397,11110011111111111111
398,11111111111111111011
399,11111111111111101101
400,00000000000000000000
401,00000000000000000010
402,00010000000000000000
403,00000010000000000000
404,00000000000000000000
405,00000011111111111110
406,00000000000000000000
407,00000000000000000000
408,11111111111101111111
409,00000000000000000000
410,00110111100000000010
411,11111111111111111111
412,00110000110111011111
413,00000000000000000000
414,00000000000000000000
415,11011111011111111111
416,00000000000000000000
417,11111111011111111111
418,11111101111110111111
419,11110101000000000001
420,00000000000000000000
421,11111111111110101111
422,10000000011111111111
423,11111111111111111111
424,11111111111111111111
425,00000000000000000000
426,00010000000000010000
427,11111111111101110101
428,00000000000000000110
429,11111111111111111101
430,11111111111111111111
431,11101111111111111111
432,11111111111111111111
433,11111111111111111111
434,00000000000000000000
435,11111111111111111111
436,11111111111111111111
437,00010000000000010000
438,00000000000000000000
439,11111111110111111111
440,11111111111111111111
441,11111111111111001111
442,11111111111111111111
443,00000000000001000000
444,00000000000000000010
445,11111111111111111111
446,11111111111111111111
447,00000000000000000000
448,00000000000000000000
449,00000000000000000010
450,00000000000000000010
451,11011111111111111111
452,11111111110010111111
453,11101111110111111101
454,01111111101111111001
455,00111000000000000011
456,10011101111111111100
457,11111111101111111111
458,00000000000000000000
459,00000000000000000000
460,11101111111111111111
461,11111111111111111111
462,11111110111111100111
463,00000000000000000000
464,00000000000000000000
465,11111111110111110111
466,00000000000000000000
467,00000000000000001000
468,11101111111111111111
469,00100000000000000000
470,00000000000000000000
471,00000000000000000000
472,11101101111111011111
473,11111111111111111111
474,00000000000000000000
475,00000000011000000000
476,00000000000001111110
477,00000000001000000000
478,01000000000000000000
479,11001111111011111111
480,00010000011000000000
481,11101111111111111101
482,00000000000000000000
483,11111111111111111111
484,11111111111111111111
485,00000000000000000000
486,11101111011111101101
487,11111111111111111111
488,00000000000010000010
489,11111111111111111111
490,11111111111111111101
491,00000000000010000010
492,00000000000000001000
493,11111111111111111111
494,00010000000000000010
495,11111111111111111111
496,11111111111011101111
497,00000000000000000010
498,10000100000000001000
499,00000000000000000000
500,11111111111101111111
501,00000000000000000000
502,11111111111111111111
503,00000000000000000000
504,11111111111111000000
505,00000000000000000000
506,00010000000000000000
507,11111111111111111111
508,11111111111111111111
509,11111111111111111111
510,00100000000000000000
511,00000000000000000010
512,00000000000000000000
513,11001111011111110111
514,11111111111111111111
515,00000000000000000000
516,00000000001011101110
517,00000000000000000000
518,00000000000000000000
519,00000000000000000000
520,00000000000000000000
521,00000001000000001000
522,00000000000000000010
523,10000000100000010001
524,00000000000000000000
525,00000000000000000110
526,00000000000000000010
527,00000111111111101111
528,11111111111111111111
529,11111111111111111111
530,11111111011110111101
531,11111111111111111111
532,11111111111111101111
533,11111111111111111111
534,11111111011111110011
535,11111111110111101111
536,11011111111111111111
537,00000000000111111110
538,11111111011011111111
539,00000000000000000000
540,00000000000000000000
541,11101110111111111111
542,00000000000000001110
543,11111110111111111111
544,00000000000000010000
545,11111111111111111101
546,00010000000000010000
547,00000000000000000000
548,11101111111111111111
549,11111111111111111101
550,11111111111111111111
551,11111111111111111101
552,00000000000000000000
553,00000000000000000000
554,00000000000000000000
555,11111111111111111111
556,11111111111111111111
557,11111111111111101111
558,10001000000000000000
559,00000000000000000000
560,11111111111111111111
561,00000000000000000010
562,11111111101111111111
563,00000000100010000000
564,00010000000000010010
565,00000000000000000000
566,00000011111111111110
567,00000000000011101110
568,00000000000000000000
569,11111111111111111111
570,11111111111110111111
571,11111111111111111111
572,00000000000000000000
573,11111111111000000011
574,11111111011101111101
575,11111111111111111111
576,11111111111111111111
577,11111111111111111111
578,00000000000000000010
579,00000000000000010000
580,11111101111110111111
581,00000000000000000000
582,00000000000000000000
583,00000000000000000000
584,11111111111111111111
585,11111111111011111111
586,00000000000000000000
587,01111111111111101111
588,11111111111010111111
589,11111111101111111101
590,11101101111111111111
591,00000000000000000011
592,11001111100111101101
593,00011110000000000001
594,00000000000000000000
595,01000000000000000000
596,00000000010000000010
597,11111111111100111111
598,00000000000000000000
599,11111111111111110111
600,00000000000000000000
601,00000000000000000000
602,11111111111111111111
603,00000000000000000000
604,11111111111111111111
605,00000000000000001010
606,11111111111111111111
607,00000000000000000010
608,11101011111111011101
609,11111111111111111111
610,10101110111111111111
611,11111111111111111111
612,00000000000000000000
613,00000000000100000010
614,00000000000000000010
615,00000000000010000000
616,00000000000000000000
617,11111110110111111111
618,00000000000000000000
619,00000000000000000000
620,00000000000000000100
621,11111111111111111011
622,11111111111111111001
623,11111101111111100001
624,00000000000000000100
625,11111111111111110111
626,00000001000000000110
627,11111111111111111011
628,11111111111111111011
629,11111011111111111011
630,11111111111011110101
631,00000000000000000110
632,11111111111111110011
633,00000000000000000100
634,00000000010111101010
635,00000000000000000110
636,11111110111111111011
637,00000000000000000000
638,11111111111111111111
639,11111111111111110111
640,00000000000000000000
641,01000000000000000000
642,00000000000000000000
643,11111111111111111111
644,00000000000000000000
645,01110011111111111101
646,00000000000000001000
647,00000000000000000100
648,11111111111111111111
649,00000000000000000000
650,11111111111111100111
651,11111111111111110111
652,11111111111111111101
653,00000000000000000000
654,11111111111011110111
655,11111111111111111111
656,11111111111111111111
657,00000000000000001000
658,11111101111111110111
659,00000000000000000010
660,11111111111111110111
661,11111111111111111111
662,11101111111111111111
663,11111111111111101111
664,11101111111111110111
665,11111111111011111111
666,00001000000000000000
667,00000000000000000000
668,11111111111111111111
669,00000000000000000000
670,00000000000000000000
671,11111111111111111111
672,11011111110111111111
673,00000000000000000000
674,11111110111111111111
675,11111111111011111111
676,11111110111111111101
677,11111111100111111011
678,00000000000000000001
679,11111101111111111111
680,11111111111111111101
681,11111111111111111101
682,11111111111111111111
683,00000000000000000000
684,11111011111111110111
685,11111111111111110111
686,11111111110110111111
687,11111111111111111111
688,11111111111111011111
689,11111101111011111111
690,00000000000010000000
691,00000000000000001000
692,11111111110111110101
693,11111111111111111101
694,11111111111111111111
695,11111111011111111101
696,00100000111111111110
697,00001000000000000010
698,11111111111111111111
699,11111111011110111111
700,00000001000000000000
701,01110110111111111110
702,00000000000000000000
703,11111010000000000001
704,00000000000000000000
705,00000000000000000000
706,11111111111111111111
707,00000000000000000000
708,00000000000000000000
709,11111111111111111101
710,00000110000000000001
711,00000000000000000000
712,00000000000000000000
713,00000000000000000000
714,00000000000000001110
715,00000000000000000000
716,11111111111110111111
717,00000000000000000000
718,00000000000000000000
719,11110111111111111111
720,11111111111110111111
721,00000000000000000100
722,11111101111111111011
723,11111111111111111111
724,11111111111001111111
725,11111111111111011111
726,00000000000010000000
727,11111111111111111111
728,11111111100111111101
729,10011001000000000000
730,11111111111111111111
731,00000000000000000000
732,00000000000000000000
733,11111111101111110111
734,00000000000000000000
735,00000001000000000000
736,00000000000000000000
737,00000000010000000000
738,11101111011111100111
739,11111111111001111111
740,01111111111111111111
741,00001000000000001000
742,11111110111111111111
743,00001111110111111110
744,00010000000000000000
745,11101111011111111111
746,11111111110011111111
747,00000000000000000000
748,11101111111111111111
749,00000000000000000000
750,00000000000000000000
751,00000000000011111110
752,11111111111111111111
753,11110111111111111111
754,00000000000000000000
755,11110111111111111111
756,00000000000000000000
757,11111111011111111111
758,11111111011111111111
759,11111111111111111111
760,00000000010000000000
761,11011111111111111111
762,01111111111111111111
763,00010000000000000001
764,00000000000000000000
765,11111111111111111111
766,10111111111011111111
767,00000000010000000000
768,11101111111101111111
769,00000000000000000010
770,00100000010000000000
771,00000000000000000010
772,00100100011111111110
773,11111101111111101111
774,11111111111111111111
775,11101111111111111111
776,00000000000000000010
777,10111111111111011111
778,00000000000000000000
779,11111111111101111101
780,00000000000000000010
781,00000000000111111110
782,11111111011110111101
783,00000000000000000000
784,00000000000000000000
785,11111101111111111111
786,00000000000000000000
787,11111111111111111111
788,11111111111111111111
789,11110010111111011111
790,11111111111111111111
791,11011111110100111111
792,11111111111111101101
793,11111110111110101101
794,11111111111111111101
795,00000000000000000000
796,11111111111111111111
797,11111111111111111111
798,00000000000000000010
799,11111111110111001111
800,11111111111111111111
801,11111111111110111111
802,11110011111111111111
803,11111111111111111011
804,11111111111111111111
805,00000000000000000010
806,00000000000000000000
807,00000000000000000000
808,00000000000000000000
809,00000000000000000000
810,11111111111111110111
811,11111111111111111111
812,11111111111111111111
813,11011111111111111001
814,00000000000000000000
815,11111111111111111111
816,00000000000000000000
817,00000000000000001000
818,00000000000000000110
819,11111111111111111111
820,00000000000000000000
821,00000000000000000000
822,00000000000000000010
823,00000001000000000000
824,11111111111111111101
825,00111111001111111110
826,11111111111000000001
827,11111101111111101111
828,00000000000000000000
829,11101111111110001101
830,11101111110110001111
831,00000000000000000001
832,11111111111111111111
833,00000000000000000010
834,00000000000000000000
835,00000000000000000000
836,01000000000000010010
837,11111100111111111111
838,00000000000000000000
839,11111111111111111101
840,00000000000000000000
841,00000000000000000000
842,00000000000000000000
843,00000000000000000000
844,11111111111011111111
845,00000000000000000000
846,11111111011111111111
847,01111111111111101111
848,00000000000000000000
849,00000000000000000000
850,11111111111111111111
851,11111111111111101111
852,01001111001000000000
853,11001011100000000001
854,11001111111111111111
855,11111111111111111111
856,00000000001000001000
857,00000000000000000000
858,11111111111111101101
859,11111111111110100101
