shot,bitstring
0,00000000000000000000
1,11111111111111111110
2,00000000100001000000
3,00000000000000000000
4,11101111111000010001
5,00000000010000000000
6,01110010111111101111
7,11111111111111111111
8,11111111111111111111
9,11111111111111101111
10,11111111111111101111
11,00000000000000000000
12,11111111111111111111
13,11111111111111111111
14,11111111111111111111
15,11111111111101111111
16,01010000000000000000
17,00110000000000111110
18,00011001001000000000
19,11101111111111101111
20,00000000000000000000
21,00000000000000000000
22,11111111111111101111
23,00100000001100000000
24,00000000000000001000
25,00110000000000001001
26,00000000000000001000
27,00000000000000000010
28,11111111111111111111
29,11111111111111111111
30,00000000000000001000
31,11001111011000001001
32,00000000000000000000
33,00000000000000000000
34,00000000000000000010
35,11111111111111111111
36,11111111111111111111
37,11111111111111101111
38,00000000000000000000
39,10111111111111111111
40,01000000000000000000
41,11111011110111111111
42,11110111111111000001
43,00000000000000000000
44,00000000000000000000
45,11111111111111111101
46,11100101111111111111
47,11111111111111111111
48,11111111111111111111
49,11111111111111111111
50,11111111111111111111
51,11111111111110001001
52,00000000000000000000
53,11111001100011000001
54,11011111111111111111
55,00000000000000000000
56,00000000000000000000
57,11111111111110111111
58,00000000000000000000
59,00000000000000000000
60,11111111111111111111
61,11111111111111111111
62,11111111111111101111
63,11111111111111111111
64,00110011100111001000
65,11111111011110111110
66,00000000000000000000
67,11111111111111111111
68,11111111111111101111
69,11111111111111111111
70,11011000000000001001
71,00000000000000001000
72,11111111111111111111
73,11111111111111111111
74,00000000000000000000
75,11111111110000011101
76,11111111111111111111
77,11111111111111111111
78,00000000000000000000
79,10000000000000000001
80,00000000000000000000
81,00000000000000001000
82,11111011111111111111
83,00010000000000101000
84,11111111111101111111
85,00000000000000001000
86,00010000000011101110
87,00010000000000100000
88,11111111111111111111
89,01011011011111000000
90,00000000000000000000
91,01111111111111111111
92,11111111111111111111
93,11111111111111111111
94,00001001000000001110
95,11111111111111111111
96,00000000000000000000
97,11111111111111111111
98,00000000000000000100
99,00000000000000001000
100,11111111111110011111
101,00000000000000000000
102,00000000000000000000
103,00000000000000000000
